name,revision,greedy_tone_wer,greedy_tone_cer,greedy_notone_wer,greedy_notone_cer,kenlm_tone_wer,kenlm_tone_cer,kenlm_notone_wer,kenlm_notone_cer
"Training in progress, step 4650",5464d15,0.46647230320699706,0.0622548007433409,0.1749271137026239,0.02954048140043764,0.4737609329446064,0.06266776791245096,0.1880466472303207,0.029853079087214754
"Training in progress, step 4400",879634d,0.4679300291545189,0.06256452612017345,0.17638483965014579,0.029853079087214754,0.4752186588921283,0.0629774932892835,0.1836734693877551,0.029853079087214754
"Training in progress, step 4000",9d9e7eb,0.48250728862973763,0.06339046045839355,0.1793002915451895,0.029853079087214754,0.48250728862973763,0.06400991121205864,0.18513119533527697,0.030009377930603313
"Training in progress, step 3600",ab1033b,0.4897959183673469,0.06576502168077637,0.18658892128279883,0.030009377930603313,0.5,0.0658682634730539,0.19825072886297376,0.03047827446076899
"Training in progress, step 3200",86a7769,0.5029154518950437,0.06721040677266157,0.20116618075801748,0.03251015942482026,0.5145772594752187,0.06772661573404914,0.22157434402332363,0.03360425132854017
"Training in progress, step 2800",1a872dd,0.5131195335276968,0.06803634111088168,0.1967930029154519,0.030947170990934667,0.5189504373177842,0.06803634111088168,0.20262390670553937,0.03172866520787746
"Training in progress, step 2000",8ddae39,0.5466472303206997,0.07268222176336982,0.23323615160349853,0.03626133166614567,0.5787172011661808,0.07392112327069998,0.2755102040816326,0.038449515473585494
"Training in progress, step 1600",171a525,0.5306122448979592,0.07020441874870947,0.23615160349854228,0.03485464207564864,0.5422740524781341,0.07123683667148462,0.23760932944606414,0.03485464207564864
"Training in progress, step 1200",eee9eb8,0.5393586005830904,0.07123683667148462,0.2259475218658892,0.03516723976242576,0.565597667638484,0.07381788147842247,0.23760932944606414,0.03626133166614567
"Training in progress, step 800",051df7c,0.575801749271137,0.07732810241585794,0.26676384839650147,0.041106595811191,0.6472303206997084,0.08383233532934131,0.37755102040816324,0.05017192872772742
"Training in progress, step 400",c2d7dc7,1.0,0.25985959116250257,0.9985422740524781,0.1458268208815255,1.0072886297376094,0.23301672517034897,0.9037900874635568,0.14410753360425133
